CODIGO,NOMBRE,DESCRIPCION,COMPRA,MAYOREO,LLEVAR,COLOCADO,EXISTENCIAS,CANT_MIN,TIPO_MED,PROVEEDOR,CATEGORIA,MARCA1,MODELO1,ANIO1,MARCA2,MODELO2,ANIO2,MARCA3,MODELO3,ANIO3,MARCA4,MODELO4,ANIO4,MARCA5,MODELO5,ANIO5
DW01563GBN,,OPTRA SEDAN 4 PTAS 04-10  (DW01608GTN) ESTA EN NISSAN S/N ETIQUETA CHECAR ANTES PRESENTAR,,"$1,110.00","$1,190.00","$1,350.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,45569,,,,,,,,,,,,
DW01605GTY ,,PONTIAC G4 2 PTAS COUPE 06/ G5 2 PTAS COUPE 07-10,,"$1,550.00","$1,650.00","$1,750.00",5,,,CRINAMEX,PARABRISAS,CHEVROLET,,45572,,,,,,,,,,,,
DW01606GTY,,PONTIAC G5 07-10 SEDAN 4 PUERTAS COBALT 06-11 4PTS,$900.00,"$2,100.00","$2,200.00","$2,300.00",8,,,CRINAMEX,PARABRISAS,CHEVROLET,,"07-10, 06-11",,,,,,,,,,,,
DW01629GTY,,G6 2 PTS CONVERTIBLE 06-09,"$1,350.00","$1,600.00","$1,850.00","$1,950.00",6,,,SAINT GOBAINT,PARABRISAS,CHEVROLET,,45541,,,,,,,,,,,,
DW00904GBN,,"GMC, SKYLARK, LIMITED, SPORT 80-85      SENTATION",$754.00,"$1,550.00","$1,650.00","$1,850.00",1,,,CITSA,PARABRISAS,CHEVROLET,,80-85,,,,,,,,,,,,
DW01885GBN,,SPARK 10-15,$817.80,"$1,350.00","$1,470.00","$1,590.00",3,,,CRINAMEX,PARABRISAS,CHEVROLET,,42278,,,,,,,,,,,,
DW02286GTN,,SPARK 16-18,"$1,647.20","$1,300.00","$1,400.00","$1,500.00",9,,,CITSA,PARABRISAS,CHEVROLET,,16-18,,,,,,,,,,,,
DW00943GBN,,S-10/BLAZER/SONOMA 4/2 PTAS 82-94                                                                                      ,$560.07,"$1,060.00","$1,180.00","$1,330.00",4,,,CRINAMEX,PARABRISAS,CHEVROLET,,82-94,,,,,,,,,,,,
DW01168-GBN,,S-10/BLAZER/SONOMA 4/2 PTAS 95-04,$715.35,"$1,290.00","$1,450.00","$1,600.00",5,,,CITSA,PARABRISAS,CHEVROLET,,95-04,,,,,,,,,,,,
DW00685GBN,,SILVERADO/PICK UP 67-72 SOMBREADO,$616.91,"$1,000.00","$1,100.00","$1,200.00",8,,,CRINAMEX,PARABRISAS,CHEVROLET,,67-72,,,,,,,,,,,,
