CODIGO,DESCRIPCION,COSTO,NEGOCIO,LLEVAR,COLOCADO,BOD,STK,INV,PROVEEDOR,MARCA,CATEGORIA
DW01346-GBN,GRAN CHEROKEE 4PTS 99-04,,"$1,270.00","$1,420.00","$1,600.00",5,,5,CITSA,CHRYSLER,PARABRISAS
DW01591GTN,GRAND CHEROKEE 05-10,"$1,210.00","$1,350.00","$1,450.00","$1,650.00",,,0,,CHRYSLER,PARABRISAS
DW01839GTY,GRAND CHEROKEE /DURANGO 11-13,,"$1,430.00","$1,480.00","$1,760.00",,,0,,CHRYSLER,PARABRISAS
FW02813GBN,H100 2PTS /CARGO VAN 06-10,,"$1,400.00","$1,530.00","$1,650.00",4,,4,CITSA,CHRYSLER,PARABRISAS
DW04045GBN,H100 03 / 06 H1000 FW02678 C/GOMA (CLAVE NAGS FW02678),$775.41,"$1,020.00",$117.00,"$1,350.00",4,,4,CITSA,CHRYSLER,PARABRISAS
FW03484GGN ,I-10 4PTS 12-14,,"$1,600.00","$1,750.00","$1,950.00",,,0,SAINT GOBAINT,CHRYSLER,PARABRISAS
DW01141GTN,  ,,$490.00,$550.00,$900.00,,,0,CRINAMEX,CHRYSLER,PARABRISAS
DW01321GTN,JEEP WRANGLER 97-,,$510.00,$570.00,$950.00,,,0,,CHRYSLER,PARABRISAS
DW01668GTN,JEEP WRANGLER 07-16,,$570.00,$620.00,$920.00,,,0,,CHRYSLER,PARABRISAS
DW00831GBN,GRAN WAGONNER 89-91 4 PTS (DW00643) ESTA EN CHEVROLET,,"$1,100.00","$1,100.00","$1,300.00",3,,3,,CHRYSLER,PARABRISAS
DW01759GTN,JOURNEY 4PTS 09-13 14-18 MISMO PARABRISAS,,"$1,470.00","$1,620.00","$1,850.00",,,0,,CHRYSLER,PARABRISAS
DW01678GTN,LIBERTY 4PTS 02-07 (SERIE ALTABLERO) CHECAR,,"$1,120.00","$1,270.00","$1,450.00",4,,4,CRINAMEX,CHRYSLER,PARABRISAS
DW01511GBN,LIBERTY 4PTS 02-07 (SERIE AL POSTE) DW01419,,"$1,210.00","$1,290.00","$1,460.00",2,,2,CRINAMEX,CHRYSLER,PARABRISAS
DW01511GBN,LIBERTY 4PTS 02-07 (SERIE AL POSTE) DW01420,,"$1,020.00","$1,170.00","$1,350.00",,,,,,
